Id,sequence_id,patient_id,avg_0,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,file_size,result
200001,0,2,5.4601e-07,-0.0799209,0.00384588,-0.0327915,0.0571749,0.0264455,0.0805831,0.0472876,0.0510668,0.00582492,0.0881541,0.0242331,0.0217622,-0.0104957,-0.0569209,-0.0043043,1730853,0
200002,0,2,6.368e-07,-0.196892,0.00662826,-0.089428,0.108504,0.0783796,0.204174,0.12687,0.135305,0.0183002,0.225488,0.0654171,0.0393623,-0.0226588,-0.138154,-0.00604683,4460669,0
200003,0,2,3.01107e-07,-0.305025,0.0028714,-0.12962,0.175519,0.108636,0.3052,0.18595,0.198675,0.0252879,0.337463,0.101563,0.078275,-0.0352084,-0.207949,-0.00917863,5363710,0
200004,0,2,9.4401e-07,-0.387396,-0.00373394,-0.165892,0.240629,0.143043,0.389061,0.259141,0.251245,0.0255785,0.421988,0.125759,0.0762763,-0.0449578,-0.264449,-0.017046,5926948,0
200005,0,2,-1.53402e-06,-0.39089,-0.0212137,-0.17185,0.223744,0.152777,0.398907,0.269262,0.23236,0.0221492,0.412504,0.122263,0.078275,-0.0432006,-0.259872,-0.00950012,5954272,0
200006,0,2,-1.24512e-06,-0.29321,-0.00554179,-0.13098,0.192132,0.108951,0.294947,0.182492,0.183663,0.0220671,0.332812,0.0975834,0.0705627,-0.0332127,-0.204613,-0.00906163,4902406,0
200007,1,2,-6.1849e-07,-0.309929,-0.0115551,-0.122655,0.166205,0.101986,0.305633,0.192816,0.201638,0.0212167,0.347966,0.101666,0.0778459,-0.0247089,-0.203784,0.00425743,5711774,0
200008,1,2,-9.76562e-08,-0.259833,0.00190739,-0.101064,0.149966,0.085416,0.266521,0.163742,0.168951,0.0220464,0.300599,0.0847131,0.0591004,-0.0353412,-0.18,-0.0120506,4570250,0
200009,1,2,1.60319e-06,-0.39138,-0.023905,-0.168039,0.225177,0.139521,0.406396,0.275492,0.269762,0.0314003,0.441292,0.129904,0.0875883,-0.0604202,-0.274692,-0.0129468,5930774,0
200010,1,2,2.96224e-06,-0.304957,0.00403472,-0.128953,0.172437,0.10753,0.316912,0.188724,0.191292,0.0250259,0.347296,0.106308,0.0781929,-0.0353792,-0.2095,-0.00985907,5421142,0
200011,1,2,-6.51042e-07,-0.304826,0.00284925,-0.121247,0.181915,0.0945538,0.297068,0.188649,0.187386,0.0269502,0.337205,0.104825,0.0771907,-0.034538,-0.2081,-0.0028086,5779849,0
200012,1,2,2.53906e-06,-0.305262,-0.00324901,-0.141211,0.181535,0.103181,0.313045,0.207318,0.22191,0.0311578,0.364401,0.106209,0.0809709,-0.044484,-0.225387,-0.0124116,5907419,0
200013,2,2,-4.31315e-07,-0.305965,-0.0127004,-0.126334,0.16645,0.0980278,0.297533,0.186558,0.185087,0.0231621,0.32512,0.102545,0.0747242,-0.0309923,-0.191863,-0.000711825,5287205,0
200014,2,2,-1.72729e-06,-0.331536,0.00323506,-0.13837,0.162986,0.131035,0.35837,0.223267,0.196469,0.0219583,0.358087,0.105376,0.0763546,-0.0353836,-0.228658,-0.0167006,6037219,0
200015,2,2,6.1849e-07,-0.32053,-0.0169217,-0.142941,0.14611,0.16105,0.387747,0.269914,0.19688,0.00906568,0.336508,0.0944037,0.0605882,-0.0603249,-0.241195,-0.0139793,6093195,0
200016,2,2,-5.53385e-07,-0.370199,-0.0329745,-0.166274,0.147961,0.18744,0.443463,0.27449,0.209359,0.0159656,0.375704,0.108475,0.0694911,-0.0528212,-0.24895,-0.0139007,5929220,0
200017,2,2,-2.91341e-06,-0.330204,-0.0262403,-0.139397,0.148252,0.140961,0.363245,0.242253,0.217186,0.028305,0.363097,0.102805,0.0732958,-0.0507344,-0.231559,-0.0156909,6024858,0
200018,2,2,2.99479e-06,-0.334334,0.00318149,-0.150146,0.185412,0.117208,0.336533,0.215624,0.216063,0.0249585,0.354089,0.105682,0.0899905,-0.038212,-0.226245,-0.0141336,5932016,0
200019,3,2,3.14128e-06,-0.360813,-0.0108492,-0.146154,0.173198,0.124683,0.365433,0.232411,0.227942,0.0306885,0.381413,0.112576,0.0836909,-0.0326834,-0.234441,-0.0130131,5947069,0
200020,3,2,2.42513e-06,-0.349151,-0.0330316,-0.146982,0.178224,0.124538,0.368045,0.241817,0.240153,0.0282548,0.392695,0.116076,0.0831969,-0.0385333,-0.241008,-0.0167034,5658849,0
200021,3,2,-1.41602e-06,-0.377614,-0.0322073,-0.159162,0.179339,0.167803,0.396121,0.275889,0.236526,0.0338908,0.402126,0.119338,0.0786466,-0.0521878,-0.25953,-0.0211867,6006610,0
200022,3,2,8.78906e-07,-0.348682,-0.0244093,-0.154197,0.167816,0.14116,0.382849,0.273638,0.213209,0.0264581,0.384863,0.111259,0.0799084,-0.0501876,-0.245776,-0.0136176,5966701,0
200023,3,2,1.92057e-06,-0.358687,0.00197738,-0.155329,0.193689,0.108412,0.351443,0.226495,0.24015,0.0348257,0.4136,0.127095,0.0949867,-0.037908,-0.246217,-0.00672428,5790680,0
200024,3,2,-2.3763e-06,-0.395938,-0.0067237,-0.165281,0.192344,0.161786,0.408685,0.278774,0.236453,0.0293631,0.408184,0.119921,0.0814291,-0.0523453,-0.266849,-0.0104287,5983673,0
200025,4,2,2.11589e-06,-0.396184,-0.0419802,-0.151432,0.158522,0.18553,0.444787,0.303822,0.234101,0.0215206,0.391038,0.106125,0.0745988,-0.0652697,-0.262249,-0.0228118,6059756,0
200026,4,2,3.71094e-06,-0.392562,-0.0212899,-0.171398,0.174416,0.182015,0.460285,0.286277,0.231349,0.0272989,0.403671,0.1174,0.0734032,-0.067012,-0.268662,-0.0219534,6025855,0
